Order Date,Sales,lag_1,lag_7,rolling_mean,year,month,day,dayofweek
2014-01-11,9.94,54.83,16.448,701.024,2014,1,11,5
2014-01-13,3553.795,9.94,288.06,1167.5575714285715,2014,1,13,0
2014-01-14,61.96,3553.795,19.536,1173.618142857143,2014,1,14,1
2014-01-15,149.95,61.96,4407.1,565.4538571428571,2014,1,15,2
2014-01-16,299.964,149.95,87.15799999999999,595.8547142857143,2014,1,16,3
2014-01-18,64.864,299.964,40.544,599.3290000000001,2014,1,18,5
2014-01-19,378.594,64.864,54.83,645.5810000000001,2014,1,19,6
2014-01-20,2673.87,378.594,9.94,1026.1424285714286,2014,1,20,0
2014-01-21,25.248,2673.87,3553.795,522.0642857142857,2014,1,21,1
2014-01-23,46.019999999999996,25.248,61.96,519.7871428571428,2014,1,23,3
2014-01-26,1097.25,46.019999999999996,149.95,655.1157142857143,2014,1,26,6
2014-01-27,426.67,1097.25,299.964,673.2165714285713,2014,1,27,0
2014-01-28,3.928,426.67,64.864,664.5114285714286,2014,1,28,1
2014-01-30,240.5,3.928,378.594,644.7837142857143,2014,1,30,3
2014-01-31,290.666,240.5,2673.87,304.326,2014,1,31,4
2014-02-01,468.9,290.666,25.248,367.7048571428572,2014,2,1,5
2014-02-02,211.64600000000002,468.9,46.019999999999996,391.36571428571426,2014,2,2,6
2014-02-03,97.11200000000001,211.64600000000002,1097.25,248.48885714285714,2014,2,3,0
2014-02-04,134.38400000000001,97.11200000000001,426.67,206.73371428571429,2014,2,4,1
2014-02-06,330.512,134.38400000000001,3.928,253.38857142857142,2014,2,6,3
2014-02-07,180.32,330.512,240.5,244.79142857142855,2014,2,7,4
2014-02-08,14.56,180.32,290.666,205.3477142857143,2014,2,8,5
2014-02-11,2043.4,14.56,468.9,430.27628571428573,2014,2,11,1
2014-02-12,129.568,2043.4,211.64600000000002,418.5508571428572,2014,2,12,2
2014-02-14,576.726,129.568,97.11200000000001,487.06714285714287,2014,2,14,4
2014-02-15,21.36,576.726,134.38400000000001,470.9208571428572,2014,2,15,5
2014-02-16,9.04,21.36,330.512,424.99628571428576,2014,2,16,6
2014-02-17,54.208,9.04,180.32,406.98028571428574,2014,2,17,0
2014-02-18,37.784,54.208,14.56,410.29800000000006,2014,2,18,1
2014-02-20,95.59,37.784,2043.4,132.03942857142857,2014,2,20,3
2014-02-21,8.85,95.59,129.568,114.794,2014,2,21,4
2014-02-22,19.44,8.85,576.726,35.181714285714285,2014,2,22,5
2014-02-23,11.364,19.44,21.36,33.75371428571428,2014,2,23,6
2014-02-24,55.672,11.364,9.04,40.41542857142857,2014,2,24,0
2014-02-27,19.456,55.672,54.208,35.45085714285714,2014,2,27,3
2014-03-01,2203.151,19.456,37.784,344.78899999999993,2014,3,1,5
2014-03-02,202.384,2203.151,95.59,360.0452857142856,2014,3,2,6
2014-03-03,1345.8919999999998,202.384,8.85,551.0512857142857,2014,3,3,0
2014-03-04,370.452,1345.8919999999998,19.44,601.195857142857,2014,3,4,1
2014-03-05,705.562,370.452,11.364,700.367,2014,3,5,2
2014-03-07,1561.062,705.562,55.672,915.4227142857142,2014,3,7,4
2014-03-10,741.956,1561.062,19.456,1018.6369999999998,2014,3,10,0
2014-03-11,918.314,741.956,2203.151,835.088857142857,2014,3,11,1
2014-03-14,2108.55,918.314,202.384,1107.3982857142857,2014,3,14,4
2014-03-15,370.78200000000004,2108.55,1345.8919999999998,968.0968571428573,2014,3,15,5
2014-03-16,471.92,370.78200000000004,370.452,982.5922857142858,2014,3,16,6
2014-03-17,3960.358,471.92,705.562,1447.563142857143,2014,3,17,0
2014-03-18,28106.716,3960.358,1561.062,5239.799428571429,2014,3,18,1
2014-03-19,590.762,28106.716,741.956,5218.200285714286,2014,3,19,2
2014-03-21,4109.816,590.762,918.314,5674.129142857143,2014,3,21,4
2014-03-22,464.09299999999996,4109.816,2108.55,5439.206714285714,2014,3,22,5
2014-03-23,945.064,464.09299999999996,370.78200000000004,5521.247,2014,3,23,6
2014-03-24,65.38,945.064,471.92,5463.169857142858,2014,3,24,0
2014-03-25,459.146,65.38,3960.358,4962.996714285715,2014,3,25,1
2014-03-26,145.13,459.146,28106.716,968.4844285714286,2014,3,26,2
2014-03-28,1823.8039999999999,145.13,590.762,1144.6332857142856,2014,3,28,4
2014-03-29,890.841,1823.8039999999999,4109.816,684.7797142857142,2014,3,29,5
2014-03-30,1170.3220000000001,890.841,464.09299999999996,785.6695714285714,2014,3,30,6
2014-03-31,1959.552,1170.3220000000001,945.064,930.5964285714284,2014,3,31,0
2014-04-01,119.88799999999999,1959.552,65.38,938.3832857142855,2014,4,1,1
2014-04-02,1458.558,119.88799999999999,459.146,1081.1564285714285,2014,4,2,2
2014-04-03,233.45,1458.558,145.13,1093.7735714285714,2014,4,3,3
2014-04-04,475.844,233.45,1823.8039999999999,901.207857142857,2014,4,4,4
2014-04-05,5295.098000000001,475.844,890.841,1530.3874285714285,2014,4,5,5
2014-04-06,1650.69,5295.098000000001,1170.3220000000001,1599.0114285714285,2014,4,6,6
2014-04-07,1021.1700000000001,1650.69,1959.552,1464.9568571428572,2014,4,7,0
